626	bold	adjective	It was a bold (courageous) move on their part to open a business in France. | Highlight the important words in bold type. | She paints with bold strokes of the brush. | If I may be so bold as to suggest that he made a mistake in his calculations… | She marched in here, bold as brass, and demanded a pay rise.
627	distinct	adjective	There was a distinct (different) smell of gas. | The results of the survey fell into two distinct (different) groups. | Being tall gave Tony a distinct (different) advantage.
628	ultimately	adverb	A poor diet will ultimately (in the end) lead to illness. | All life depends ultimately (in the end) on oxygen.
629	comprehensive	adjective	a comprehensive (complete) list of addresses | The cricket team finished the season with a comprehensive (complete) victory over their rivals.
630	comprehensive	adjective	a comprehensive (complete) list of addresses
634	alongside	preposition	A police car pulled up alongside (beside) us. | Traditional beliefs still flourish alongside (beside) a modern urban lifestyle.
636	elegant	adjective	She was tall and elegant (stylish). | an elegant (stylish) dress | an elegant (stylish) solution to the problem
641	ethnic	adjective	Our government should reflect the racial and ethnic (native) diversity of our country. | ethnic (native) clothes/jewellery/cooking
649	identical	adjective	The two pictures are similar, although not identical (the same). | This is the identical (the same) room we stayed in last year.
650	fabulous	adjective	They put on a fabulous (excellent) performance. | fabulous (excellent) wealth/riches/beauty | fabulous (excellent) beasts
653	joint	adjective, noun	The report was a joint (shared) effort (= we worked on it together).
668	miserable	adjective	We were cold, wet and thoroughly miserable (sad). | I spent a miserable (depressing) weekend alone at home. | How can anyone live on such a miserable (paltry) wage?
669	miserable	adjective	He was a miserable (depressing) old devil.
674	firm	adjective, noun	These peaches are still firm (resolute). | She is a firm favourite with the children. | Stand the fish tank on a firm base. | With a firm grip on my hand, he pulled me away. | Parents must be firm with their children. | The euro remained firm against the dollar, but fell against the yen. | Everyone agreed with me, so I knew I was on firm ground. | Some children need a firm hand to make them behave. | We need to take a firm line on data privacy.
679	newly	adverb	a newly (lately) qualified doctor
682	nasty	adjective	He had a nasty (malicious) accident. | She's always making nasty (malicious) remarks about people. | a nasty (malicious) bend (= dangerous for cars going fast) | to have a nasty (malicious) mind | You'd better do what he says or he'll turn nasty (malicious). | It looks as though the weather is going to turn nasty (malicious) again. | The whole business left a bad taste in my mouth. (malicious) | Don’t trust him; he’s a nasty (malicious) piece of work.
683	randomized	adjective	The randomized (randomize) study will compare students' achievement in different types of school.
684	magnificent	adjective	The Taj Mahal is a magnificent (splendid) building.
689	precious	adjective	The crown was set with precious (valuable) jewels—diamonds, rubies and emeralds. | Clean water is a precious (valuable) commodity in that part of the world. | You are infinitely precious (valuable) to me. | I didn't touch your precious (valuable) car! | The crown was set with precious (valuable) jewels—diamonds, rubies and emeralds.
693	so-called	adjective	How have these so-called (alleged) improvements helped the local community? | artists from the so-called (alleged) ‘School of London’
706	thorough	adjective	The police carried out a thorough (careful) investigation. | She's very thorough (careful) and conscientious. | Everything was in a thorough (careful) mess.
708	adverse	adjective	Lack of money will have an adverse (unfavorable) effect on our research programme.
709	acute	adjective	There is an acute (severe) shortage of water. | acute (severe) appendicitis | acute (severe) patients | Dogs have an acute (severe) sense of smell. | He is an acute (severe) observer of the social scene. | There is an acute (severe) shortage of water.
714	adjacent	adjective	The planes landed on adjacent (next to) runways.
715	albeit	conjunction	He finally agreed, albeit (even though it was) reluctantly, to help us.
724	amid	preposition	He finished his speech amid (among) tremendous applause. | The hotel was in a beautiful position amid (among) lemon groves.
728	arbitrary	adjective	The choice of players for the team seemed completely arbitrary. | the arbitrary powers of officials
730	architectural	adjective	architectural features
737	applicable	adjective	Give details of children where applicable (relevant) (= if you have any).
763	bare	adjective	She likes to walk around in bare (plain) feet. | The winter sun filtered through the bare branches of the trees. | Bare wires were sticking out of the cable. | The fridge was completely bare. | The family was short of even the bare necessities of life. | the bare bones of the story | They are seeking more funds but the cupboard is bare. | Every aspect of their private lives has been laid bare. | We pulled the wall down with our bare hands.
774	beneath	preposition	They found the body buried beneath (under) a pile of leaves. | He considers such jobs beneath (under) him.
797	comparable	adjective	A comparable (similar) house in the south of the city would cost twice as much.
805	civic	adjective	civic (citizen's) buildings/leaders | The competition would be an opportunity to foster civic (citizen's) pride.
824	authentic	adjective	I don't know if the painting is authentic (genuine). | an authentic (genuine) account of life in the desert | Take a trip on an authentic (genuine) Spanish galleon to the famous Papagayo beach.
839	beloved	adjective	They were glad to be back in their beloved (loved) Ireland. | She was beloved (loved) by all who knew her.
853	brutal	adjective	a brutal (violent) and repressive regime | With brutal (violent) honesty she told him she did not love him.
862	capitalist	adjective	a capitalist (financier) society/system/economy
873	cautious	adjective	The government has been cautious (careful) in its response to the report.
893	clinical	adjective	She regarded her patients from a purely clinical standpoint. | He watched her suffering with clinical detachment. | Everything in the nursery was white and clinical and there were no pictures on the walls.
897	coastal	adjective	a coastal (low) path (= one that follows the line of the coast)
898	fatal	adjective	If she gets ill again it could prove fatal (terminal). | Any delay would be fatal (terminal).
901	civilian	adjective, noun	He left the army and returned to civilian (private citizen) life.
902	favourable	adjective	She made a favourable (favorable) impression in the interview. | The performance drew a lot of favourable comments from reviewers. | Their demands received a favourable response. | An area with a favourable climate will inevitably be richer than one without. | They offered me a loan on very favourable terms. | They could not sail without a favourable wind.
907	feminist	adjective, noun	feminist demands/ideas/theories
917	fierce	adjective	Two fierce (intense) eyes glared at them. | He launched a fierce (savage) attack on the Democrats. | the fierce heat of the flames | I sure do miss you something fierce!
929	forth	adverb	They set forth at dawn. | Water gushed forth from a hole in the rock. | We discussed everything—when to go, what to see and so on. | ferries sailing back and forth between the islands | From that day forth she gave me endless friendship and encouragement.
930	forthcoming	adjective	a list of forthcoming books | Financial support was not forthcoming. | She's never very forthcoming about her plans.
931	frankly	adverb	He spoke frankly (candidly) about the ordeal. | Frankly (candidly), I couldn't care less what happens to him.
932	frustrated	adjective	It's very easy to get frustrated (angry) in this job. | He stamped his foot in frustrated (angry) rage. | It's very easy to get frustrated (angry) in this job.
933	frustrated	adjective	a frustrated (angry) artist
938	fragile	adjective	Be careful not to drop it; it’s very fragile (easily broken). | The economy remains extremely fragile (easily broken). | The woman's fragile (easily broken) face broke into a smile. | Her father is now 86 and in fragile (easily broken) health.
942	functional	adjective	Bathrooms don't have to be purely functional (utilitarian). | These units played a key functional (utilitarian) role in the military operation. | The hospital will soon be fully functional (utilitarian).
947	glorious	adjective	We congratulate you on this glorious (gorgeous) victory. | We sat on the beach and gazed at the glorious (gorgeous) sunset. | They had three weeks of glorious (gorgeous) sunshine. | a glorious (gorgeous) trip to Rome
